,listing_id,popularity_score
0,6983,0.058676088887569255
1,26057,0.0072943033668109196
2,26473,0.14665805602361495
3,29118,0.0009402426320855324
4,29618,0.017651818256047863
5,31094,0.00067301577875596
6,32379,0.011431370947987265
7,32841,0.00012124181308471341
8,37159,0.0002721754987616015
9,38524,0.0005567226111032757
10,41105,0.0011579830310948136
11,45794,0.0003859943436982712
12,49122,0.06452043914279565
13,53776,0.00023753498073739767
14,55465,0.012470586488713378
15,60048,0.009056021140613284
16,61546,0.01391559095486588
17,65902,0.013183191430925572
18,69210,0.0004082632481424022
19,70768,3.958916345623294e-05
20,75158,0.004899158977708827
21,78381,0.018507933915788897
22,96080,0.0020091500454038217
23,104280,0.01571442356940846
24,104281,0.012930810513892088
25,112292,0.0018013069372585992
26,117702,0.007638234224336943
27,118649,0.00302857100440182
28,118971,0.0011431370947987262
29,119322,0.00024743227160145596
30,130130,0.0038549947915506822
31,131263,2.969187259217471e-05
32,135777,0.00010392155407261149
33,138241,0.00415686216290446
34,139965,0.0019373946866393997
35,142599,0.016224134048907463
36,143230,0.014375814980044588
37,149482,
38,150236,0.09735222726159282
39,150592,0.0006309522925837125
40,150699,0.023520911738434395
41,154529,9.402426320855324e-05
42,155068,0.0040529406088318475
43,157093,0.0037114840740218383
44,157904,0.005814658382634215
45,158241,0.008083612313219564
46,161114,0.0007126049422121929
47,161208,0.020467597506872433
48,161543,0.0002721754987616015
49,171546,0.005923528582138854
50,174297,0.008603220083582622
51,176963,0.21362312600983296
52,177321,0.011431370947987261
53,177376,0.04694779921366024
54,178888,0.00037114840740218384
55,179543,0.0019225487503433123
56,180441,0.0023753498073739764
57,186454,0.05340578150245824
58,188557,0.0020784310814522295
59,194022,0.03155503759733367
60,198448,0.012267692026000185
61,199281,0.0069404752184208385
62,202142,4.948645432029118e-05
63,202532,0.0007917832691246589
64,206861,0.0054558815888121025
65,218854,0.0007992062372727026
66,222915,0.022991406677207286
67,231411,0.019559521070095086
68,239637,7.917832691246588e-05
69,239705,0.05190139329112139
70,240802,2.2268904444131027e-05
71,248129,0.0007992062372727026
72,250201,0.0007992062372727026
73,257639,0.0001385620720968153
74,258430,0.401255966210649
75,258670,0.030137250681057322
76,259354,0.00017320259012101918
77,260657,0.011401679075395086
78,262961,0.0016033611199774342
79,263036,0.0007126049422121929
80,263708,0.0002177403990092812
81,264220,5.938374518434942e-05
82,266547,
83,269188,0.001224789744427207
84,273370,0.000880858886901183
85,274027,0.00801680559988717
86,279685,0.0005146591249310283
87,279724,0.0028504197688487714
88,287737,0.009449438452459602
89,290446,0.0011876749036869882
90,300482,4.948645432029118e-05
91,302659,0.0008907561777652413
92,304005,0.005770120573745952
93,307295,0.00035382814839008195
94,309552,0.005770120573745952
95,312803,0.005299999257703186
96,313003,0.0014796449841767065
97,313237,0.007571427511004551
98,313736,0.00047506996147479534
99,315836,
100,316440,0.003102800685882257
101,318437,0.01815163144468281
102,325195,0.3616024703637997
103,326472,0.0017938839691105548
104,327286,0.003830251564390537
105,327621,0.0008462183688769791
106,328179,0.00042063486172247514
107,330243,0.0006680671333239308
108,330915,0.8625860136434155
109,331236,0.0011084965767745225
110,334127,0.03165153618325824
111,337574,0.00029691872592174705
112,338928,0.01004575022701911
113,338992,0.24576705241357807
114,339126,0.004535433538454686
115,339139,0.025082209372239584
116,339245,0.0002449579488854413
117,341477,0.10246665231559492
118,341781,0.00012371613580072798
119,343137,0.0011876749036869882
120,343272,0.05160447456519964
121,345187,0.12080138364126279
122,346877,2.969187259217471e-05
123,348018,0.0027019604058878986
124,351404,0.001929971718491356
125,352077,0.00044537808888262074
126,353025,0.009449438452459602
127,355841,0.0010095236681339401
128,356861,0.007848551655198181
129,358561,4.948645432029118e-05
130,360046,0.00029691872592174705
131,360501,0.006396124220897636
132,362318,0.01309659013586506
133,362647,0.00010392155407261149
134,367120,0.0022046215399689722
135,368578,0.00034640518024203835
136,369967,0.17146066692894488
137,371797,0.00017320259012101915
138,373261,0.014722220160286629
139,373871,0.0002449579488854413
140,377173,0.0001781512355530482
141,380449,7.422968148043677e-06
142,383749,0.00715326697199809
143,384198,0.00041568621629044597
144,391758,0.007571427511004551
145,392750,4.948645432029118e-06
146,395154,0.0001558823311089172
147,400379,
148,401478,0.001536554406645041
149,401665,0.004416666048085988
150,408181,
151,409625,0.015142855022009103
152,410215,0.0001781512355530482
153,411203,0.0010812790268983625
154,411305,0.0010342668952940857
155,411810,0.003936647441179163
156,416104,
157,417252,0.0018780109414550507
158,418606,
159,421110,0.004970914336473249
160,422105,0.005901259677694723
161,423304,0.0025114375567547773
162,423987,0.003859943436982712
163,425631,0.00019794581728116472
164,425895,0.006146217626580164
165,426963,0.08842981954764431
166,429897,0.019240333439729206
167,432409,0.0006928103604840766
168,433091,
169,434490,0.00041568621629044597
170,435540,0.0003563024711060965
171,438172,0.0010812790268983625
172,441639,0.01101815905441283
173,441719,0.0009798317955417653
174,441763,0.002632679369839491
175,443470,0.002058636499724113
176,443684,0.4518039049761105
177,453720,0.0019943041091077347
178,454064,0.007284406075946862
179,454605,0.0013064423940556873
180,455191,0.0007967319145566882
181,456207,0.00024248362616942682
182,456771,0.0005888888064114651
183,456776,0.13156468745592614
184,458595,0.0012990194259076436
185,458943,0.0017221286103461329
186,459719,0.0002598038851815287
187,460453,0.0002672268533295724
188,461969,0.013999717927210373
189,462293,2.474322716014559e-06
190,462688,0.00432511610759345
191,462858,0.031042852795118658
192,463891,7.422968148043677e-06
193,463915,0.013999717927210373
194,464413,0.0040380946725357605
